証券コード,EDINETコード,提出者名
39740,E32794,株式会社うるる
39680,E32814,ＳＣＡＴ株式会社
39690,E32815,セグエグループ株式会社
39760,E32825,株式会社エイトレッド
39810,E32855,株式会社シャノン
39840,E32992,株式会社ビーグリー
39830,E33026,株式会社ユーザーローカル
39850,E33039,株式会社オロ
39860,E33040,テモナ株式会社
39880,E33232,株式会社ビーブレイクシステムズ
39890,E33235,株式会社ＳＹＳホールディングス
65520,E33242,シェアリングテクノロジー株式会社
39910,E33359,ＵＵＵＭ株式会社
39920,E33364,ウォンテッドリー株式会社
44470,E33367,株式会社ニーズウェル
39940,E33384,株式会社ピー・ビーシステムズ
39930,E33390,株式会社マネーフォワード
39960,E33391,株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ
39970,E33519,サインポスト株式会社
44800,E33553,株式会社トレードワークス
65620,E33598,ブルーテック株式会社
43900,E33615,株式会社ジーニー
39980,E33623,株式会社アイ・ピー・エス
43920,E33626,株式会社すららネット
43800,E33702,ＦＩＧ株式会社
29340,E33784,株式会社Ｍマート
43810,E33800,ジェイフロンティア株式会社
94500,E33825,ビープラッツ株式会社
43820,E33839,株式会社ファイバーゲート
44320,E33880,ＨＥＲＯＺ株式会社
43840,E33957,ウイングアーク１ｓｔ株式会社
65800,E33966,ラクスル株式会社
43860,E34018,株式会社ライトアップ
43910,E34031,株式会社ＳＩＧグループ
43880,E34045,ロジザード株式会社
43850,E34052,株式会社エーアイ
43890,E34064,株式会社メルカリ
43950,E34090,プロパティデータバンク株式会社
43960,E34091,株式会社アクリート
44220,E34111,株式会社システムサポート
43930,E34114,ＶＡＬＵＥＮＥＸ株式会社
43940,E34116,株式会社バンク・オブ・イノベーション
43970,E34199,株式会社くふう住まい
43980,E34225,株式会社チームスピリット
44200,E34288,株式会社ブロードバンドセキュリティ
55710,E34321,イーソル株式会社
44210,E34326,エキサイトホールディングス株式会社
44240,E34335,株式会社ディ・アイ・システム
44250,E34497,株式会社Ａｍａｚｉａ
44280,E34507,Ｋｕｄａｎ株式会社
44450,E34509,株式会社シノプス
70470,E34513,リビン・テクノロジーズ株式会社
44330,E34537,ポート株式会社
44270,E34538,株式会社ヒト・コミュニケーションズ・ホールディングス
44790,E34545,アルテリア・ネットワークス株式会社
44370,E34557,株式会社マクアケ
44290,E34587,ｇｏｏｄｄａｙｓホールディングス株式会社
44310,E34633,リックソフト株式会社
44300,E34643,株式会社スマレジ
44350,E34663,東海ソフト株式会社
44380,E34712,株式会社カオナビ
44390,E34721,株式会社Ｗｅｌｂｙ
44400,E34729,株式会社東名
44360,E34739,株式会社ヴィッツ
44410,E34754,株式会社ミンカブ・ジ・インフォノイド
44460,E34814,トビラシステムズ株式会社
44420,E34853,Ｌｉｎｋ－Ｕグループ株式会社
44430,E34880,バルテス・ホールディングス株式会社
41650,E34960,Ｓａｎｓａｎ株式会社
44440,E34973,株式会社プレイド
44490,E34974,株式会社インフォネット
65970,E35096,株式会社ギフティ
44760,E35114,ＨＰＣシステムズ株式会社
44480,E35117,ＡＩ　ＣＲＯＳＳ株式会社
44500,E35134,株式会社ＳＮＫ
44750,E35137,株式会社パワーソリューションズ
44770,E35150,ＨＥＮＮＧＥ株式会社
44810,E35163,ＢＡＳＥ株式会社
44900,E35164,ベース株式会社
44820,E35278,株式会社ビザスク
44840,E35284,株式会社ウィルズ
44860,E35302,株式会社ロコガイド
44830,E35307,ユナイトアンドグロウ株式会社
44780,E35308,株式会社ＪＭＤＣ
44870,E35325,フリー株式会社
44880,E35333,株式会社ＪＴＯＷＥＲ
44930,E35345,ＡＩ　ｉｎｓｉｄｅ株式会社
44910,E35354,株式会社サイバーセキュリティクラウド
44920,E35466,コンピューターマネージメント株式会社
44980,E35504,株式会社ゼネテック
44940,E35516,サイバートラスト株式会社
44950,E35544,バリオセキュア株式会社
44960,E35578,株式会社アイキューブドシステムズ
44990,E35589,株式会社コマースＯｎｅホールディングス
40510,E35632,株式会社Ｓｐｅｅｅ
40520,E35642,ＧＭＯフィナンシャルゲート株式会社
40570,E35758,フィーチャ株式会社
73510,E35765,株式会社インターファクトリー
40540,E35773,株式会社グッドパッチ
40550,E35821,日本情報クリエイト株式会社
40530,E35824,ティアンドエスグループ株式会社
40560,E35827,株式会社Ｓｕｎ　Ａｓｔｅｒｉｓｋ
40580,E35841,ニューラルグループ株式会社
40600,E35911,トヨクモ株式会社
40110,E35930,ｒａｋｕｍｏ株式会社
40590,E35941,株式会社ヘッドウォータース
40120,E35945,株式会社まぐまぐ
40130,E35959,株式会社アクシス
41720,E35967,勤次郎株式会社
40150,E36002,東和ハイシステム株式会社
40160,E36070,ペイクラウドホールディングス株式会社
41670,E36077,ＭＩＴホールディングス株式会社
40170,E36086,株式会社ココペリ
41680,E36100,株式会社クリーマ
41700,E36107,株式会社ヤプリ
40190,E36122,株式会社Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ
41710,E36155,株式会社スタメン
73590,E36172,株式会社グローバルインフォメーション
41660,E36173,株式会社東京通信グループ
41740,E36174,かっこ株式会社
